compound,vina_kcal_mol,seconds
"TERBUTALINE",-4.554,9.7
"PROCYCLIDINE HYDROCHLORIDE",-4.085,11.9
"TOCAINIDE",-4.090,4.2
"HYDROFLUMETHIAZIDE",-5.060,7.7
"LEVOMEPROMAZINE",-4.253,17.5
"BETHANECHOL CHLORIDE",-3.814,3.8
"SODIUM ASCORBATE",-4.680,5.4
"CLOPIDOGREL",-5.005,11.1
"CHLORPHENESIN CARBAMATE",-4.447,11.1
"BRIVARACETAM",-4.063,5.8
"METAXALONE",-5.931,7.1
"VARENICLINE",-4.454,3.1
"ROPIVACAINE",-4.603,11.4
"METHYL AMINOLEVULINATE",-4.149,4.4
"PIRBUTEROL",-4.640,11.2
"NIRAPARIB",-5.687,12.0
"BRETYLIUM TOSYLATE",-3.063,3.8
"CLOPIDOGREL BISULFATE",-5.005,10.6
"FEBUXOSTAT",-4.891,11.1
"RUCAPARIB",-4.688,25.9
"CHLOROPROCAINE",-3.872,14.0
